County,City,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
Bronx,New York,5/5/2000,42.5,0.018417,8.8,0.866667
Bronx,New York,5/5/2000,42.5,0.018417,8.8,0.7875
Bronx,New York,5/5/2000,42.5,0.018417,9.6,0.866667
Bronx,New York,5/5/2000,42.5,0.018417,9.6,0.7875
Bronx,New York,5/6/2000,42.875,0.034333,9.5,1.1875
Bronx,New York,5/6/2000,42.875,0.034333,9.5,1.195833
Bronx,New York,5/6/2000,42.875,0.034333,9.4625,1.1875
Bronx,New York,5/6/2000,42.875,0.034333,9.4625,1.195833
Bronx,New York,5/7/2000,29,0.036583,7.041667,0.720833
Bronx,New York,5/7/2000,29,0.036583,7.041667,0.8375
Bronx,New York,5/7/2000,29,0.036583,7,0.720833
Bronx,New York,5/7/2000,29,0.036583,7,0.8375
Bronx,New York,5/8/2000,49.958333,0.02775,12.045455,0.995455
Bronx,New York,5/8/2000,49.958333,0.02775,12.045455,0.916667
Bronx,New York,5/8/2000,49.958333,0.02775,12.316667,0.995455
Bronx,New York,5/8/2000,49.958333,0.02775,12.316667,0.916667
Bronx,New York,5/9/2000,36.619048,0.042125,9.666667,0.708333
Bronx,New York,5/9/2000,36.619048,0.042125,9.666667,0.795833
Bronx,New York,5/9/2000,36.619048,0.042125,9.6375,0.708333
Bronx,New York,5/9/2000,36.619048,0.042125,9.6375,0.795833
Bronx,New York,5/10/2000,19.708333,0.017542,2.958333,0.504167
Bronx,New York,5/10/2000,19.708333,0.017542,2.958333,0.533333
Bronx,New York,5/10/2000,19.708333,0.017542,2.925,0.504167
Bronx,New York,5/10/2000,19.708333,0.017542,2.925,0.533333
Bronx,New York,5/11/2000,24.25,0.019,4.958333,0.5625
Bronx,New York,5/11/2000,24.25,0.019,4.958333,0.566667
Bronx,New York,5/11/2000,24.25,0.019,4.9375,0.5625
Bronx,New York,5/11/2000,24.25,0.019,4.9375,0.566667
Bronx,New York,5/12/2000,30.291667,0.017333,3.75,0.6875
Bronx,New York,5/12/2000,30.291667,0.017333,3.75,0.691667
